Ticker,Company_Name,Sector,Industry,Market_Cap_Cat,Cap_value
IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services,Financial Services,Mid,730378403840
SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services,Financial Services,Mid,719350136832
TORNTPOWER.NS,Torrent Power Ltd.,Utilities,Power,Mid,719070363648
LTF.NS,L&T Finance Ltd.,Financial Services,Financial Services,Mid,714417307648
INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services,Financial Services,Mid,705609203712
FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,Financial Services,Mid,705378910208
DIXON.NS,Dixon Technologies (India) Ltd.,Technology,Consumer Durables,Mid,697564397568
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Mid,694057893888
POLICYBZR.NS,PB Fintech Ltd.,Financial Services,Financial Services,Mid,688771629056
LLOYDSME.NS,Lloyds Metals And Energy Ltd.,Basic Materials,Metals & Mining,Mid,683273027584
IOB.NS,Indian Overseas Bank,Financial Services,Financial Services,Mid,671271026688
PRESTIGE.NS,Prestige Estates Projects Ltd.,Real Estate,Realty,Mid,670388584448
YESBANK.NS,Yes Bank Ltd.,Financial Services,Financial Services,Mid,670274813952
GICRE.NS,General Insurance Corporation of India,Financial Services,Financial Services,Mid,668426371072
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,Healthcare,Mid,668069462016
COROMANDEL.NS,Coromandel International Ltd.,Basic Materials,Chemicals,Mid,665712197632
UNOMINDA.NS,UNO Minda Ltd.,Consumer Cyclical,Automobile and Auto Components,Mid,665340477440
SUZLON.NS,Suzlon Energy Ltd.,Industrials,Capital Goods,Mid,658911133696
SAIL.NS,Steel Authority of India Ltd.,Basic Materials,Metals & Mining,Mid,657538285568
RVNL.NS,Rail Vikas Nigam Ltd.,Industrials,Construction,Mid,653419610112
NATIONALUM.NS,National Aluminium Co. Ltd.,Basic Materials,Metals & Mining,Mid,649788456960
JSL.NS,Jindal Stainless Ltd.,Basic Materials,Metals & Mining,Mid,649090498560
FORTIS.NS,Fortis Healthcare Ltd.,Healthcare,Healthcare,Mid,644658757632
OFSS.NS,Oracle Financial Services Software Ltd.,Technology,Information Technology,Mid,632262688768
PHOENIXLTD.NS,Phoenix Mills Ltd.,Real Estate,Realty,Mid,623843540992
UPL.NS,UPL Ltd.,Basic Materials,Chemicals,Mid,622305345536
MRF.NS,MRF Ltd.,Consumer Cyclical,Automobile and Auto Components,Mid,620033933312
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Basic Materials,Capital Goods,Mid,610942910464
MCX.NS,Multi Commodity Exchange of India Ltd.,Financial Services,Financial Services,Mid,604979986432
SCHAEFFLER.NS,Schaeffler India Ltd.,Consumer Cyclical,Automobile and Auto Components,Mid,601769115648
SUNDARMFIN.NS,Sundaram Finance Ltd.,Financial Services,Financial Services,Mid,600661032960
ATGL.NS,Adani Total Gas Ltd.,Utilities,Oil Gas & Consumable Fuels,Mid,594541936640
BIOCON.NS,Biocon Ltd.,Healthcare,Healthcare,Mid,590165311488
MFSL.NS,Max Financial Services Ltd.,Financial Services,Financial Services,Mid,588237701120
NAM-INDIA.NS,Nippon Life India Asset Management Ltd.,Financial Services,Financial Services,Mid,586224369664
COLPAL.NS,Colgate Palmolive (India) Ltd.,Consumer Defensive,Fast Moving Consumer Goods,Mid,580689330176
ABBOTINDIA.NS,Abbott India Ltd.,Healthcare,Healthcare,Mid,579787227136
VMM.NS,Vishal Mega Mart Ltd.,Consumer Cyclical,Consumer Services,Mid,570807353344
PATANJALI.NS,Patanjali Foods Ltd.,Consumer Defensive,Fast Moving Consumer Goods,Mid,570664484864
HINDCOPPER.NS,Hindustan Copper Ltd.,Basic Materials,Metals & Mining,Mid,559349039104
OBEROIRLTY.NS,Oberoi Realty Ltd.,Real Estate,Realty,Mid,557849313280
BERGEPAINT.NS,Berger Paints India Ltd.,Basic Materials,Consumer Durables,Mid,551160971264
GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare,Healthcare,Mid,544016203776
JSWINFRA.NS,JSW Infrastructure Ltd.,Industrials,Services,Mid,541816225792
BALKRISIND.NS,Balkrishna Industries Ltd.,Consumer Cyclical,Automobile and Auto Components,Mid,521202466816
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,Financial Services,Mid,521193324544
LINDEINDIA.NS,Linde India Ltd.,Basic Materials,Chemicals,Mid,519039778816
COFORGE.NS,Coforge Ltd.,Technology,Information Technology,Mid,518112444416
LAURUSLABS.NS,Laurus Labs Ltd.,Healthcare,Healthcare,Mid,511606456320
